region_code, weather_param, year, key, value
UK,Sunshine,2009,October,84.5
UK,Sunshine,2009,November,60.4
UK,Sunshine,2009,December,50.8
UK,Sunshine,2010,Jan,54.3
UK,Sunshine,2010,Feb,62.3
UK,Sunshine,2010,March,116.7
UK,Sunshine,2010,April,182.9
UK,Sunshine,2010,May,200.3
UK,Sunshine,2010,June,209.6
UK,Sunshine,2010,July,138.3
UK,Sunshine,2010,August,146.8
UK,Sunshine,2010,September,125.9
UK,Sunshine,2010,October,106.4
UK,Sunshine,2010,November,65.0
UK,Sunshine,2010,December,47.5
UK,Sunshine,2011,Jan,49.9
UK,Sunshine,2011,Feb,51.6
UK,Sunshine,2011,March,121.6
UK,Sunshine,2011,April,202.8
UK,Sunshine,2011,May,191.6
UK,Sunshine,2011,June,175.4
UK,Sunshine,2011,July,170.0
UK,Sunshine,2011,August,127.4
UK,Sunshine,2011,September,127.3
UK,Sunshine,2011,October,90.4
UK,Sunshine,2011,November,59.4
UK,Sunshine,2011,December,38.7
UK,Sunshine,2012,Jan,58.3
UK,Sunshine,2012,Feb,62.6
UK,Sunshine,2012,March,150.6
UK,Sunshine,2012,April,127.9
UK,Sunshine,2012,May,199.3
UK,Sunshine,2012,June,114.1
UK,Sunshine,2012,July,137.0
UK,Sunshine,2012,August,151.6
UK,Sunshine,2012,September,139.4
UK,Sunshine,2012,October,91.1
UK,Sunshine,2012,November,62.3
UK,Sunshine,2012,December,46.3
UK,Sunshine,2013,Jan,36.4
UK,Sunshine,2013,Feb,75.3
UK,Sunshine,2013,March,81.4
UK,Sunshine,2013,April,167.3
UK,Sunshine,2013,May,177.4
UK,Sunshine,2013,June,171.2
UK,Sunshine,2013,July,248.7
UK,Sunshine,2013,August,157.9
UK,Sunshine,2013,September,114.6
UK,Sunshine,2013,October,78.0
UK,Sunshine,2013,November,71.1
UK,Sunshine,2013,December,42.0
UK,Sunshine,2014,Jan,42.8
UK,Sunshine,2014,Feb,75.0
UK,Sunshine,2014,March,126.7
UK,Sunshine,2014,April,144.9
UK,Sunshine,2014,May,149.6
UK,Sunshine,2014,June,178.4
UK,Sunshine,2014,July,223.0
UK,Sunshine,2014,August,171.0
UK,Sunshine,2014,September,123.3
UK,Sunshine,2014,October,82.8
UK,Sunshine,2014,November,51.9
UK,Sunshine,2014,December,57.1
UK,Sunshine,2015,Jan,58.5
UK,Sunshine,2015,Feb,76.0
UK,Sunshine,2015,March,121.9
UK,Sunshine,2015,April,212.9
UK,Sunshine,2015,May,174.4
UK,Sunshine,2015,June,189.7
UK,Sunshine,2015,July,160.6
UK,Sunshine,2015,August,148.8
UK,Sunshine,2015,September,157.8
UK,Sunshine,2015,October,91.2
UK,Sunshine,2015,November,35.6
UK,Sunshine,2015,December,29.2
UK,Sunshine,2016,Jan,37.1
UK,Sunshine,2016,Feb,84.9
UK,Sunshine,2016,March,117.3
UK,Sunshine,2016,April,160.8
UK,Sunshine,2016,May,209.6
UK,Sunshine,2016,June,136.5
UK,Sunshine,2016,July,156.4
UK,Sunshine,2016,August,181.7
UK,Sunshine,2016,September,119.9
UK,Sunshine,2016,October,105.3
UK,Sunshine,2016,November,74.7
UK,Sunshine,2016,December,40.7
UK,Sunshine,2017,Jan,56.5
UK,Sunshine,2017,Feb,55.1
UK,Sunshine,2017,March,122.7
UK,Sunshine,2017,April,162.0
UK,Sunshine,2017,May,212.9
UK,Sunshine,2017,June,162.2
UK,Sunshine,2017,July,171.5
UK,Sunshine,2017,August,159.9
UK,Sunshine,2017,September,109.9
UK,Sunshine,2017,October,73.6
UK,Sunshine,2017,November,69.2
UK,Sunshine,2017,December,152.3
UK,Rainfall,1910,Jan,111.4
UK,Rainfall,1910,Feb,126.1
UK,Rainfall,1910,March,49.9
UK,Rainfall,1910,April,95.3
UK,Rainfall,1910,May,71.8
UK,Rainfall,1910,June,70.2
